source_id,source_url,http_status_at_collection,accessed_at,block_reason
src_ee5c2521bcb6,https://www.shanghai.gov.cn/jjylfwsjzc/20230404/384bd5c2a50440bbae76eacd62a78c4e.html,403,2026-07-12,HTTP error/access control; no error page retained as snapshot
src_a01235832298,https://jtw.sh.gov.cn/zsk/20230323/2ed128b74fbb4241b9436a754cba56b6.html,403,2026-07-12,HTTP error/access control; no error page retained as snapshot
src_cd4e19098ea9,https://jtw.sh.gov.cn/zsk/20220114/96a202a48bf249a3bd4ed51db6adc952.html,403,2026-07-12,HTTP error/access control; no error page retained as snapshot
src_72f63f23b706,https://mzj.sh.gov.cn/lnb-xw/20230328/3bfff6a4b8c44d09a52b7ae90fcbf93b.html,403,2026-07-12,HTTP error/access control; no error page retained as snapshot
src_cf93c9c8b8a2,https://www.shanghai.gov.cn/gwk/search/content/44a038898cb84860bee035a1de2cb737,403,2026-07-12,HTTP error/access control; no error page retained as snapshot
src_b023836cdcc0,https://www.shanghai.gov.cn/gwk/search/content/e49f366f10924473917d53e87ef09785,403,2026-07-12,HTTP error/access control; no error page retained as snapshot
src_753387c4a529,https://www.shanghai.gov.cn/jjylfwqjzc/20230512/93443abd2bee4c82b4f762be65511070.html,403,2026-07-12,HTTP error/access control; no error page retained as snapshot
src_b1a17b29a099,https://www.shanghai.gov.cn/nw17239/20250724/243cdfdcb15d4dfaad29c23aa16f183d.html,403,2026-07-12,HTTP error/access control; no error page retained as snapshot
src_03285eab743d,https://www.shanghai.gov.cn/nw12344/20200813/0001-12344_64944.html,403,2026-07-12,HTTP error/access control; no error page retained as snapshot
src_ac51213c7136,https://www.shanghai.gov.cn/sjzccs/20220510/fc55239ccfc4496aaea70ab369c35325.html,403,2026-07-12,HTTP error/access control; no error page retained as snapshot
src_35ba77340f09,https://www.shanghai.gov.cn/sjzccs/20220531/117e2dbdfe770880a82878f7e83ef.html,403,2026-07-12,HTTP error/access control; no error page retained as snapshot
src_ee94e39effbb,https://www.shanghai.gov.cn/cmsres/7d/7d16fa3077d94596aea78e81bd6158a2/b783f7892cbabcde89c5aaf0d652f864.pdf,403,2026-07-12,HTTP error/access control; no error page retained as snapshot
src_05c9249c1245,https://www.shanghai.gov.cn/nw12344/20200813/0001-12344_65101.html,403,2026-07-12,HTTP error/access control; no error page retained as snapshot
