weather_scenario,day_type,metric,seed_count,mean,std_dev,minimum,maximum
W0,workday,planned_activities,3,211.333333,4.041452,207.0,215.0
W0,workday,completed_activities,3,208.0,3.605551,204.0,211.0
W0,workday,activity_completion_rate,3,0.98425,0.002479,0.981395,0.985849
W0,workday,necessary_activity_completion_rate,3,0.982117,0.010188,0.973154,0.993197
W0,workday,weather_cancelled_activities,3,0.0,0.0,0.0,0.0
W0,workday,transport_related_unmet,3,0.0,0.0,0.0,0.0
W0,workday,mandatory_activity_incomplete,3,2.666667,1.527525,1.0,4.0
W0,workday,walking_mode_share,3,0.015373,0.011139,0.007595,0.028133
W0,workday,bus_mode_share,3,0.572192,0.003854,0.56962,0.576623
W0,workday,metro_mode_share,3,0.348451,0.013975,0.332481,0.358442
W0,workday,ride_hailing_mode_share,3,0.063984,0.008182,0.054545,0.069054
W0,workday,ride_hailing_requests,3,25.0,3.464102,21.0,27.0
W0,workday,successful_ride_hailing_requests,3,25.0,3.464102,21.0,27.0
W0,workday,failed_ride_hailing_requests,3,0.0,0.0,0.0,0.0
W0,workday,mean_ride_hailing_wait_minutes,3,10.873333,0.213786,10.63,11.031
W0,workday,fallback_attempts,3,0.0,0.0,0.0,0.0
W0,workday,fallback_successes,3,0.0,0.0,0.0,0.0
W0,workday,mean_total_travel_time,3,63.331,2.029191,61.147,65.158
W0,workday,mean_fare_yuan,3,5.359333,0.569738,4.892,5.994
W0,workday,on_time_arrival_rate,3,0.984234,0.009768,0.976744,0.995283
W0,workday,road_vehicle_volume,3,1043.941,3.464102,1039.941,1045.941
W0,workday,mean_volume_capacity_ratio,3,0.714961,0.022282,0.689706,0.731847
W0,workday,mean_road_speed_kmh,3,17.395,0.174519,17.219,17.568
W0,workday,total_outdoor_exposure_minutes,3,7326.790333,169.029603,7149.564,7486.214
W0,workday,total_heat_risk_burden,3,0.0,0.0,0.0,0.0
W0,workday,ride_hailing_requests_per_100_agents,3,12.5,1.732051,10.5,13.5
W0,workday,successful_ride_hailing_requests_per_100_agents,3,12.5,1.732051,10.5,13.5
W0,workday,failed_ride_hailing_requests_per_100_agents,3,0.0,0.0,0.0,0.0
W0,workday,fallback_attempts_per_100_agents,3,0.0,0.0,0.0,0.0
W0,workday,transport_related_unmet_per_100_agents,3,0.0,0.0,0.0,0.0
W0,workday,mandatory_activity_incomplete_per_100_agents,3,1.333333,0.763763,0.5,2.0
W1,workday,planned_activities,3,211.333333,4.041452,207.0,215.0
W1,workday,completed_activities,3,204.333333,6.429101,197.0,209.0
W1,workday,activity_completion_rate,3,0.966733,0.013205,0.951691,0.976415
W1,workday,necessary_activity_completion_rate,3,0.982117,0.010188,0.973154,0.993197
W1,workday,weather_cancelled_activities,3,3.666667,2.886751,2.0,7.0
W1,workday,transport_related_unmet,3,0.0,0.0,0.0,0.0
W1,workday,mandatory_activity_incomplete,3,2.666667,1.527525,1.0,4.0
W1,workday,walking_mode_share,3,0.015576,0.01117,0.007653,0.028351
W1,workday,bus_mode_share,3,0.560413,0.011061,0.548969,0.571046
W1,workday,metro_mode_share,3,0.35744,0.012941,0.342784,0.367292
W1,workday,ride_hailing_mode_share,3,0.066571,0.014617,0.050938,0.079897
W1,workday,ride_hailing_requests,3,25.666667,6.110101,19.0,31.0
W1,workday,successful_ride_hailing_requests,3,25.666667,6.110101,19.0,31.0
W1,workday,failed_ride_hailing_requests,3,0.0,0.0,0.0,0.0
W1,workday,mean_ride_hailing_wait_minutes,3,10.974,0.368729,10.613,11.35
W1,workday,fallback_attempts,3,0.0,0.0,0.0,0.0
W1,workday,fallback_successes,3,0.0,0.0,0.0,0.0
W1,workday,mean_total_travel_time,3,63.499667,2.275545,60.918,65.214
W1,workday,mean_fare_yuan,3,5.468333,0.582658,4.878,6.043
W1,workday,on_time_arrival_rate,3,0.983921,0.009953,0.976526,0.995238
W1,workday,road_vehicle_volume,3,1044.607667,6.110101,1037.941,1049.941
W1,workday,mean_volume_capacity_ratio,3,0.717863,0.0249,0.689178,0.733901
W1,workday,mean_road_speed_kmh,3,17.448333,0.325807,17.074,17.668
W1,workday,total_outdoor_exposure_minutes,3,7221.219,242.991854,6964.064,7447.0
W1,workday,total_heat_risk_burden,3,57209.644997,2326.853274,54793.957014,59436.10807
W1,workday,ride_hailing_requests_per_100_agents,3,12.833333,3.05505,9.5,15.5
W1,workday,successful_ride_hailing_requests_per_100_agents,3,12.833333,3.05505,9.5,15.5
W1,workday,failed_ride_hailing_requests_per_100_agents,3,0.0,0.0,0.0,0.0
W1,workday,fallback_attempts_per_100_agents,3,0.0,0.0,0.0,0.0
W1,workday,transport_related_unmet_per_100_agents,3,0.0,0.0,0.0,0.0
W1,workday,mandatory_activity_incomplete_per_100_agents,3,1.333333,0.763763,0.5,2.0
W2,workday,planned_activities,3,211.333333,4.041452,207.0,215.0
W2,workday,completed_activities,3,197.0,3.0,194.0,200.0
W2,workday,activity_completion_rate,3,0.932291,0.014209,0.916279,0.943396
W2,workday,necessary_activity_completion_rate,3,0.968634,0.019335,0.946309,0.98
W2,workday,weather_cancelled_activities,3,8.333333,0.57735,8.0,9.0
W2,workday,transport_related_unmet,3,0.0,0.0,0.0,0.0
W2,workday,mandatory_activity_incomplete,3,4.666667,2.886751,3.0,8.0
W2,workday,walking_mode_share,3,0.008151,0.002836,0.005348,0.011019
W2,workday,bus_mode_share,3,0.38166,0.01248,0.371901,0.395722
W2,workday,metro_mode_share,3,0.477501,0.006388,0.473262,0.484848
W2,workday,ride_hailing_mode_share,3,0.132687,0.007258,0.125668,0.140162
W2,workday,ride_hailing_requests,3,49.0,2.645751,47.0,52.0
W2,workday,successful_ride_hailing_requests,3,49.0,2.645751,47.0,52.0
W2,workday,failed_ride_hailing_requests,3,0.0,0.0,0.0,0.0
W2,workday,mean_ride_hailing_wait_minutes,3,11.409,0.50461,10.838,11.795
W2,workday,fallback_attempts,3,0.0,0.0,0.0,0.0
W2,workday,fallback_successes,3,0.0,0.0,0.0,0.0
W2,workday,mean_total_travel_time,3,66.085667,2.011895,64.301,68.266
W2,workday,mean_fare_yuan,3,7.964667,0.15845,7.782,8.065
W2,workday,on_time_arrival_rate,3,0.976539,0.018805,0.955,0.989691
W2,workday,road_vehicle_volume,3,1067.941,2.645751,1065.941,1070.941
W2,workday,mean_volume_capacity_ratio,3,0.779129,0.037856,0.736928,0.810099
W2,workday,mean_road_speed_kmh,3,16.890333,0.066463,16.849,16.967
W2,workday,total_outdoor_exposure_minutes,3,7652.817667,157.180254,7500.037,7814.056
W2,workday,total_heat_risk_burden,3,0.0,0.0,0.0,0.0
W2,workday,ride_hailing_requests_per_100_agents,3,24.5,1.322876,23.5,26.0
W2,workday,successful_ride_hailing_requests_per_100_agents,3,24.5,1.322876,23.5,26.0
W2,workday,failed_ride_hailing_requests_per_100_agents,3,0.0,0.0,0.0,0.0
W2,workday,fallback_attempts_per_100_agents,3,0.0,0.0,0.0,0.0
W2,workday,transport_related_unmet_per_100_agents,3,0.0,0.0,0.0,0.0
W2,workday,mandatory_activity_incomplete_per_100_agents,3,2.333333,1.443376,1.5,4.0
