seed,policy,weather_cancellation_unchanged_passed,nonelder_profiles_unchanged_passed,blocked_agents_cannot_ride_passed,d4_digital_identity_unchanged_passed,vehicle_conservation_passed,common_dispatch_priority_passed,passed
47,D0_baseline,True,True,True,True,True,True,True
47,D1_targeted_digital_training_75pct,True,True,True,True,True,True,True
47,D2_family_assistance_90pct,True,True,True,True,True,True,True
47,D3_universal_elder_digital_access,True,True,True,True,True,True,True
47,D4_limited_community_phone_25pct,True,True,True,True,True,True,True
48,D0_baseline,True,True,True,True,True,True,True
48,D1_targeted_digital_training_75pct,True,True,True,True,True,True,True
48,D2_family_assistance_90pct,True,True,True,True,True,True,True
48,D3_universal_elder_digital_access,True,True,True,True,True,True,True
48,D4_limited_community_phone_25pct,True,True,True,True,True,True,True
49,D0_baseline,True,True,True,True,True,True,True
49,D1_targeted_digital_training_75pct,True,True,True,True,True,True,True
49,D2_family_assistance_90pct,True,True,True,True,True,True,True
49,D3_universal_elder_digital_access,True,True,True,True,True,True,True
49,D4_limited_community_phone_25pct,True,True,True,True,True,True,True
50,D0_baseline,True,True,True,True,True,True,True
50,D1_targeted_digital_training_75pct,True,True,True,True,True,True,True
50,D2_family_assistance_90pct,True,True,True,True,True,True,True
50,D3_universal_elder_digital_access,True,True,True,True,True,True,True
50,D4_limited_community_phone_25pct,True,True,True,True,True,True,True
51,D0_baseline,True,True,True,True,True,True,True
51,D1_targeted_digital_training_75pct,True,True,True,True,True,True,True
51,D2_family_assistance_90pct,True,True,True,True,True,True,True
51,D3_universal_elder_digital_access,True,True,True,True,True,True,True
51,D4_limited_community_phone_25pct,True,True,True,True,True,True,True
52,D0_baseline,True,True,True,True,True,True,True
52,D1_targeted_digital_training_75pct,True,True,True,True,True,True,True
52,D2_family_assistance_90pct,True,True,True,True,True,True,True
52,D3_universal_elder_digital_access,True,True,True,True,True,True,True
52,D4_limited_community_phone_25pct,True,True,True,True,True,True,True
53,D0_baseline,True,True,True,True,True,True,True
53,D1_targeted_digital_training_75pct,True,True,True,True,True,True,True
53,D2_family_assistance_90pct,True,True,True,True,True,True,True
53,D3_universal_elder_digital_access,True,True,True,True,True,True,True
53,D4_limited_community_phone_25pct,True,True,True,True,True,True,True
54,D0_baseline,True,True,True,True,True,True,True
54,D1_targeted_digital_training_75pct,True,True,True,True,True,True,True
54,D2_family_assistance_90pct,True,True,True,True,True,True,True
54,D3_universal_elder_digital_access,True,True,True,True,True,True,True
54,D4_limited_community_phone_25pct,True,True,True,True,True,True,True
55,D0_baseline,True,True,True,True,True,True,True
55,D1_targeted_digital_training_75pct,True,True,True,True,True,True,True
55,D2_family_assistance_90pct,True,True,True,True,True,True,True
55,D3_universal_elder_digital_access,True,True,True,True,True,True,True
55,D4_limited_community_phone_25pct,True,True,True,True,True,True,True
56,D0_baseline,True,True,True,True,True,True,True
56,D1_targeted_digital_training_75pct,True,True,True,True,True,True,True
56,D2_family_assistance_90pct,True,True,True,True,True,True,True
56,D3_universal_elder_digital_access,True,True,True,True,True,True,True
56,D4_limited_community_phone_25pct,True,True,True,True,True,True,True
