vehicle_total,weather_scenario,seed_count,ride_hailing_requests,successful_ride_hailing_requests,ride_hailing_failed,mean_ride_hailing_wait_minutes_per_request,max_ride_hailing_wait_minutes,fallback_attempts,fallback_succeeded,fallback_failed,late_but_reached,transport_unmet,mandatory_activity_incomplete,activity_completion_rate,necessary_activity_completion_rate,walking_mode_share,bus_mode_share,metro_mode_share,ride_hailing_mode_share,mean_total_travel_time,mean_road_speed_kmh,competition_seed_share,collapse_seed_share,no_vehicle_failure_seed_share
16,W0,10,5.9,5.8,0.1,9.988567,13.1335,0.1,0.1,0.0,1.4,0.0,1.4,0.970433,0.96264,0.016357,0.535471,0.389297,0.058875,62.9922,17.4312,0.1,0.0,0.0
16,W2,10,13.0,12.6,0.4,11.210178,19.543658,0.4,0.4,0.0,0.8,0.0,0.7,0.961458,0.981211,0.007275,0.357237,0.501236,0.134252,63.6829,17.0988,0.3,0.0,0.2
12,W0,10,5.9,5.7,0.2,10.314456,14.72386,0.2,0.2,0.0,1.6,0.0,1.5,0.96851,0.960009,0.016357,0.536523,0.389297,0.057822,63.0522,17.4104,0.1,0.0,0.0
12,W2,10,13.0,11.6,1.4,11.968436,21.692812,1.4,1.4,0.0,1.5,0.0,1.1,0.952476,0.97046,0.007275,0.367553,0.501236,0.123937,64.2165,16.9105,0.5,0.0,0.4
10,W0,10,5.9,4.9,1.0,11.456657,18.45706,1.0,1.0,0.0,1.9,0.0,1.7,0.964504,0.954674,0.017368,0.542756,0.390328,0.049549,63.4095,17.2333,0.6,0.0,0.6
10,W2,10,13.0,10.5,2.5,12.672166,22.359512,2.5,2.5,0.0,2.0,0.0,1.4,0.944463,0.962423,0.008386,0.37628,0.503375,0.111959,64.7297,16.6465,0.8,0.0,0.8
8,W0,10,5.9,3.8,2.1,13.231786,18.45706,2.1,2.1,0.0,2.5,0.0,2.0,0.952938,0.946847,0.019422,0.552175,0.390328,0.038075,63.9931,16.9401,0.7,0.0,0.7
8,W2,10,13.0,8.2,4.8,14.146182,22.357845,4.8,4.8,0.0,3.4,0.0,2.3,0.91775,0.938367,0.010492,0.398111,0.504486,0.086911,65.9836,16.0827,0.9,0.0,0.9
6,W0,10,5.9,3.7,2.2,13.431786,18.99036,2.2,2.2,0.0,2.5,0.0,2.0,0.952938,0.946847,0.019422,0.552175,0.391359,0.037044,64.0226,16.9221,0.8,0.0,0.8
6,W2,10,13.0,7.7,5.3,14.741947,23.024545,5.3,5.3,0.0,3.6,0.0,2.3,0.915964,0.938367,0.010492,0.401155,0.506529,0.081824,66.1458,15.9965,1.0,0.0,1.0
